HDD - Seq,karl,2023-05-12 20:11:48,1.30023909E8,124
HDD - Rnd,puya,2023-05-12 20:22:50,1.30026005E8,124
HDD - Rnd,marko,2023-05-12 20:24:40,5.36884419E8,512
HDD - Rnd,ramos,2023-05-12 20:27:42,1.073769656E9,1024
HDD - Seq,ramos,2023-05-12 20:28:21,1.30024013E8,124
HDD - Rnd,carlas,2023-05-12 22:00:48,5.36882789E8,512
HDD - Seq,crist,2023-05-12 22:02:13,1.3002359E8,124
HDD - Rnd,dorin,2023-05-12 22:02:35,1.30023672E8,124
HDD - Rnd,abba,2023-05-12 22:03:33,5.36874863E8,512
HDD - Rnd,DA,2023-05-16 14:26:58,5.36870912E8,512
HDD - Rnd,DA,2023-05-16 14:27:59,5.36870912E8,512
HDD - Rnd,DA,2023-05-16 14:28:19,1.073741824E9,1024
HDD - Rnd,laooooo,2023-05-16 14:30:37,5.36874712E8,512
HDD - Rnd,laooooo,2023-05-16 14:31:05,1.073748024E9,1024
HDD - Rnd,gaming,2023-05-16 14:35:15,1.073746124E9,1024
HDD - Rnd,da,2023-05-19 23:27:34,1.07374797E9,1024
GPU,NEYMAR,2023-05-20 01:13:51,906.2115312366996,1
